source,external_id,reporter_hash,incident_type,description,severity,status,location_lat,location_lng,address_text,zone_name,media_urls,ai_confidence,fraud_score,is_infrastructure,created_at,resolved_at
WEB,web:mmia_fire_20260223,a1b2c3d4e5f67890123456789abcdef0,FIRE,Fire in Terminal 1 server room at Murtala Muhammed Airport. No casualties.,HIGH,RESOLVED,6.5874,3.3217,"MMIA Terminal 1, Ikeja",Ikeja,"[""https://pbs.twimg.com/media/HB7Pyg8WQAAMBxZ.jpg""]",0.97,0.0,TRUE,2026-02-23 17:00:00+01,2026-02-24 12:00:00+01
WEB,web:igbologun_drowning_20260101,a1b2c3d4e5f67890123456789abcdef0,DROWNING,"Boat capsized on Igbologun water channel near Ilashe. 6 dead.",HIGH,RESOLVED,6.415,3.520,"Igbologun / Nigerdock axis",Apapa,"[""https://punchng.com/six-killed-four-rescued-in-lagos-boat-crash/""]",0.91,0.0,FALSE,2026-01-01 20:35:00+01,2026-01-02 12:00:00+01
WEB,web:abule_egba_hazard_20260105,a1b2c3d4e5f67890123456789abcdef0,HAZARD,"Pipeline fire at Katangowa corridor, Abule-Egba.",HIGH,RESOLVED,6.6023,3.3018,"Katangowa, Abule-Egba",Abule-Egba,[],0.85,0.0,TRUE,2026-01-05 08:00:00+01,2026-01-06 12:00:00+01
WEB,web:ikotun_collapse_20140912,a1b2c3d4e5f67890123456789abcdef0,COLLAPSE,"Six-storey guest house collapsed in Ikotun. High casualties.",CRITICAL,RESOLVED,6.55,3.28,"Ikotun area",Alimosho,[],0.88,0.0,TRUE,2014-09-12 00:00:00+01,2014-09-13 12:00:00+01
WEB,web:ebute_ero_collapse_20110707,a1b2c3d4e5f67890123456789abcdef0,COLLAPSE,"Four-storey building collapsed on Mogaji Street, Ebute Ero. 2 dead.",HIGH,RESOLVED,6.45,3.39,"Mogaji Street, Ebute Ero, Lagos Island",Lagos Island,[],0.85,0.0,TRUE,2011-07-07 00:00:00+01,2011-07-08 12:00:00+01
WEB,web:representative_rta_2025_high,a1b2c3d4e5f67890123456789abcdef0,RTA,"Major road traffic accident (representative of 394 RTA recorded in Lagos in 2025).",HIGH,RESOLVED,6.5244,3.3792,"Lagos-Ibadan Expressway area",Ojodu,[],0.75,0.0,FALSE,2025-02-15 00:00:00+01,2025-02-16 12:00:00+01
WEB,web:representative_fire_2025,a1b2c3d4e5f67890123456789abcdef0,FIRE,"Residential or market fire outbreak (representative of 204 fires recorded in Lagos in 2025).",MEDIUM,RESOLVED,6.5244,3.3792,"Alimosho or Surulere area",Surulere,[],0.70,0.0,FALSE,2025-04-10 00:00:00+01,2025-04-11 12:00:00+01
WEB,web:representative_flood_2025,a1b2c3d4e5f67890123456789abcdef0,FLOOD,"Localised flash flooding in low-lying area (common rainy season pattern in Lagos).",MEDIUM,RESOLVED,6.5244,3.3792,"Agege or Oshodi area",Agege,[],0.72,0.0,FALSE,2025-07-20 00:00:00+01,2025-07-21 12:00:00+01
WEB,web:representative_rta_2026,a1b2c3d4e5f67890123456789abcdef0,RTA,"Vehicle crash (representative of 56 RTA recorded in Lagos in January-February 2026).",MEDIUM,RESOLVED,6.5244,3.3792,"Third Mainland Bridge or Lagos Island",Lagos Island,[],0.70,0.0,FALSE,2026-01-20 00:00:00+01,2026-01-21 12:00:00+01
WEB,web:representative_collapse_2026,a1b2c3d4e5f67890123456789abcdef0,COLLAPSE,"Minor building collapse (representative of 2 collapses in Lagos in January-February 2026).",HIGH,RESOLVED,6.5244,3.3792,"Lagos Mainland",Yaba,[],0.78,0.0,TRUE,2026-02-10 00:00:00+01,2026-02-11 12:00:00+01
